기준연월,구분,주택,보증유형,건수,금액(백만원),비율(건수기준_퍼센트)
2019-09-01,단독주택,다가구주택,전세보증금반환보증,1897,262726,5
2019-09-01,공동주택,아파트,전세자금대출특약보증,19767,3027508,61
2019-09-01,공동주택,오피스텔,전세자금대출특약보증,3996,463308,12
2019-09-01,공동주택,연립주택,전세자금대출특약보증,609,80686,2
2019-09-01,공동주택,다세대주택,전세자금대출특약보증,5724,779387,18
2019-09-01,단독주택,단독주택,전세자금대출특약보증,806,93178,2
2019-09-01,단독주택,다가구주택,전세자금대출특약보증,1737,191952,5
2019-12-01,공동주택,아파트,전세보증금반환보증,24930,5467113,61
2019-12-01,공동주택,오피스텔,전세보증금반환보증,5112,749620,13
2019-12-01,공동주택,연립주택,전세보증금반환보증,679,117223,2
2019-12-01,공동주택,다세대주택,전세보증금반환보증,7688,1384102,19
2019-12-01,단독주택,단독주택,전세보증금반환보증,854,127363,2
2019-12-01,단독주택,다가구주택,전세보증금반환보증,1627,221531,4
2019-12-01,공동주택,아파트,전세자금대출특약보증,19767,3027508,61
2019-12-01,공동주택,오피스텔,전세자금대출특약보증,3996,463308,12
2019-12-01,공동주택,연립주택,전세자금대출특약보증,609,80686,2
2019-12-01,공동주택,다세대주택,전세자금대출특약보증,5724,779387,18
2019-12-01,단독주택,단독주택,전세자금대출특약보증,806,93178,2
2019-12-01,단독주택,다가구주택,전세자금대출특약보증,1737,191952,5
2020-03-01,공동주택,아파트,전세보증금반환보증,23762,5376964,62
2020-03-01,공동주택,오피스텔,전세보증금반환보증,5240,747090,14
2020-03-01,공동주택,연립주택,전세보증금반환보증,633,106225,2
2020-03-01,공동주택,다세대주택,전세보증금반환보증,6559,1118049,17
2020-03-01,단독주택,단독주택,전세보증금반환보증,717,107062,2
2020-03-01,단독주택,다가구주택,전세보증금반환보증,1472,210599,4
2020-03-01,공동주택,아파트,전세자금대출특약보증,15707,2550878,58
2020-03-01,공동주택,오피스텔,전세자금대출특약보증,3807,427276,14
2020-03-01,공동주택,연립주택,전세자금대출특약보증,519,64742,2
2020-03-01,공동주택,다세대주택,전세자금대출특약보증,5251,684537,19
2020-03-01,단독주택,단독주택,전세자금대출특약보증,617,72066,2
2020-03-01,단독주택,다가구주택,전세자금대출특약보증,1288,148195,5
2020-06-01,공동주택,아파트,전세보증금반환보증,25812,5845589,61
2020-06-01,공동주택,오피스텔,전세보증금반환보증,5134,796626,12
2020-06-01,공동주택,연립주택,전세보증금반환보증,756,125547,2
2020-06-01,공동주택,다세대주택,전세보증금반환보증,8108,1444982,19
2020-06-01,단독주택,단독주택,전세보증금반환보증,943,145622,2
2020-06-01,단독주택,다가구주택,전세보증금반환보증,1683,249039,4
2020-06-01,공동주택,아파트,전세자금대출특약보증,17932,2913453,58
2020-06-01,공동주택,오피스텔,전세자금대출특약보증,3633,448056,12
2020-06-01,공동주택,연립주택,전세자금대출특약보증,586,74952,2
2020-06-01,공동주택,다세대주택,전세자금대출특약보증,6595,902358,21
2020-06-01,단독주택,단독주택,전세자금대출특약보증,829,98147,3
2020-06-01,단독주택,다가구주택,전세자금대출특약보증,1494,178305,5
2020-09-01,공동주택,아파트,전세보증금반환보증,29165,6841686,61
2020-09-01,공동주택,오피스텔,전세보증금반환보증,6061,975979,13
2020-09-01,공동주택,연립주택,전세보증금반환보증,770,141104,2
2020-09-01,공동주택,다세대주택,전세보증금반환보증,8762,1611903,18
2020-09-01,단독주택,단독주택,전세보증금반환보증,929,151151,2
2020-09-01,단독주택,다가구주택,전세보증금반환보증,1826,274790,4
2020-09-01,공동주택,노인복지주택,전세보증금반환보증,2,620,0
2020-09-01,공동주택,아파트,전세자금대출특약보증,20815,3537125,59
2020-09-01,공동주택,오피스텔,전세자금대출특약보증,4378,565777,12
2020-09-01,공동주택,연립주택,전세자금대출특약보증,595,82175,2
2020-09-01,공동주택,다세대주택,전세자금대출특약보증,7173,1027708,20
2020-09-01,단독주택,단독주택,전세자금대출특약보증,822,102477,2
2020-09-01,단독주택,다가구주택,전세자금대출특약보증,1584,190785,4
2020-12-01,공동주택,아파트,전세보증금반환보증,30807,7446645,60
2020-12-01,공동주택,오피스텔,전세보증금반환보증,6315,1059519,12
2020-12-01,공동주택,연립주택,전세보증금반환보증,811,149539,2
2020-12-01,공동주택,다세대주택,전세보증금반환보증,10144,1878883,20
2020-12-01,단독주택,단독주택,전세보증금반환보증,976,153512,2
2020-12-01,단독주택,다가구주택,전세보증금반환보증,1974,299496,4
2020-12-01,단독주택,다중주택,전세보증금반환보증,13,1265,0
2020-12-01,공동주택,아파트,전세자금대출특약보증,19844,3361336,57
2020-12-01,공동주택,오피스텔,전세자금대출특약보증,4060,540051,12
2020-12-01,공동주택,연립주택,전세자금대출특약보증,647,87463,2
2020-12-01,공동주택,다세대주택,전세자금대출특약보증,7652,1083369,22
2020-12-01,단독주택,단독주택,전세자금대출특약보증,869,105046,3
2020-12-01,단독주택,다가구주택,전세자금대출특약보증,1687,199928,5
2020-12-01,단독주택,다중주택,전세자금대출특약보증,1,50,0
2021-03-01,공동주택,아파트,전세보증금반환보증,32437,8130365,61
2021-03-01,공동주택,오피스텔,전세보증금반환보증,7183,1199700,13
2021-03-01,공동주택,연립주택,전세보증금반환보증,793,148230,1
